name,created_at,download_count
openponk-borm-editor-linux-nightly.zip,2026-09-04T00:03:31Z,1
openponk-borm-editor-mac-arm-nightly.zip,2026-09-04T00:03:33Z,1
openponk-borm-editor-mac-intel-nightly.zip,2026-09-04T00:04:09Z,1
openponk-borm-editor-win-nightly.zip,2026-09-04T00:03:38Z,1
